Account Name,January,February,March,April,May,June,July,August,September,October,November,December,Total,Margins,,
Bridge Income Streams,,,,,,,,,,,,,,,,
Total Congress and Special Events,"$2,331.87","$1,088.97","$3,121.18",$141.81,"$1,160.91","$11,307.27","$2,097.27","$16,035.90","$1,219.55","$7,118.17","$1,383.64","$1,016.36","$48,022.90",,,
Total North Ryde Day,$0.00,$257.83,"$5,213.08","$6,362.18","$7,703.46","$4,570.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$24,106.55",-266.0%,,
Total The Willis,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,765.46","$4,845.46","$9,610.92",-23.6%,,
Total Lindfield East,"$3,297.10","$7,225.83","$10,989.64","$12,147.64","$13,691.82","$14,580.18",$0.00,$0.00,$0.00,"$5,140.91","$9,616.36","$8,210.00","$84,899.48",-17.2%,,
Thursday Night Events Real Bridge,$744.54,"$3,398.18","$1,221.82","$2,909.09","$2,941.81","$3,351.81","$9,683.64","$2,781.81","$2,578.18","$1,825.45",$0.00,"$3,440.91","$34,877.24",,,
Total Real Bridge,"$30,700.91","$25,074.17","$26,360.19","$20,305.46","$20,134.55","$23,972.74","$50,496.37","$53,484.55","$73,678.18","$57,670.91","$40,181.82","$30,509.09","$452,568.94",59.5%,,
Beginners,"$5,400.00",$900.91,"$4,445.46","$1,923.63","$2,990.92","$1,826.04",$0.00,($270.00),"$6,399.09",$0.00,$0.00,$0.00,"$23,616.05",41.6%,,
Transition Lessons,"$4,823.68","$5,267.04","$7,154.27","$5,725.82","$5,404.09","$5,882.37","$8,865.13","$15,430.92","$10,426.37","$22,542.75","$15,982.95","$1,076.37","$108,581.76",23.6%,,
Subscriptions,"$6,000.00","$6,000.00","$6,000.00","$6,000.00","$6,000.00","$6,000.00","$7,000.00","$7,000.00","$8,000.00","$8,000.00","$8,000.00","$6,383.50","$80,383.50",,,
Sponsorship,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$750.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,750.00",,,
Total,"$55,298.10","$49,212.93","$64,505.64","$55,515.63","$60,027.56","$72,240.41","$78,142.41","$94,463.18","$102,301.37","$102,298.19","$79,930.23","$55,481.69","$869,417.34",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Direct Costs to run above Bridge Streams,,,,,,,,,,,,,,,,
Cong&Special E Other Expenses,$450.00,$0.00,$572.05,$153.40,"$1,430.50",$724.89,$0.00,$45.45,$436.36,$0.00,$0.00,$0.00,"$3,812.65",,,($1.00)
Teaching beginners,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,001.00","$4,380.00","$5,280.00","$2,120.00","$13,781.00",,,
Teaching Intermed & Transition Fees,"$5,220.83","$6,103.85","$11,823.05","$7,924.00","$8,945.00","$6,535.00","$7,264.00","$6,320.00","$8,693.00","$7,158.00","$4,832.00","$2,100.00","$82,918.73",,,
Directors' Fees North Ryde,"$12,526.53","$13,835.18","$15,366.18","$3,300.00","$4,360.00","$4,170.00",$0.00,$0.00,$0.00,$0.00,,,"$53,557.89",,,
Rent North Ryde RSL,$0.00,$0.00,"$17,332.00","$8,666.00","$8,666.00",$0.00,$0.00,$0.00,$0.00,$0.00,,,"$34,664.00",,,
Directors' Fees Willis,,,,,,,,,,,"$3,027.00","$2,124.50","$5,151.50",,,
Rent North Ryde Willis,,,,,,,,,,,"$3,190.00","$3,540.00","$6,730.00",,,
Directing Fees ELindfield,"$6,971.96","$6,971.96","$6,971.96","$3,591.00","$4,617.00","$6,859.00",$0.00,$0.00,$0.00,"$1,539.00","$3,784.50","$3,486.50","$44,792.88",,,
Rent East Lindfield,"$3,000.00","$4,250.00","$4,434.08","$5,215.00","$6,302.72","$6,180.00","$3,090.00","$3,090.00","$3,090.00","$3,801.70","$4,140.33","$8,100.49","$54,694.32",,,
Director Fees Thursday Nights,,,,,,,,,,,,,,,,
Directing Fees Real Bridge,$0.00,$0.00,$0.00,"$10,720.00","$12,639.00","$12,067.27","$16,290.00","$19,720.00","$19,370.00","$17,880.00","$13,720.00","$11,870.00","$134,276.27",,,
Real Bridge,"$3,176.63","$3,500.00","$5,700.68","$2,811.74","$2,406.75","$2,385.16","$6,228.40","$6,000.00","$6,128.46","$6,000.00","$3,928.22",$927.24,"$49,193.28",,,
Prizes,"$1,700.00","$1,450.00",$180.00,"$1,250.00","$3,050.00","$5,912.50","$1,050.00","$4,675.00","$2,590.00","$3,035.00","$1,620.00",$728.00,"$27,240.50",,,
,,,,,,,,,,,,,,,,
Total Direct Costs,"$33,045.95","$36,110.99","$62,380.00","$43,631.14","$52,416.97","$44,833.82","$33,922.40","$39,850.45","$42,308.82","$43,793.70","$43,522.05","$34,996.73","$510,813.02",,,
,,,,,,,,,,,,,,,,
Gross Profit,"$22,252.15","$13,101.94","$2,125.64","$11,884.49","$7,610.59","$27,406.59","$44,220.01","$54,612.73","$59,992.55","$58,504.49","$36,408.18","$20,484.96","$358,604.32",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Misc Income less Overheads,,,,,,,,,,,,,,,,
Other Income,,,,,,,,,,,,,,,,
Job Keeper Subsidy,"$25,500.00","$25,500.00","$25,500.00","($1,000.00)",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$75,500.00",,,
NSW COVID Grant 2021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00",$0.00,$0.00,$0.00,"$7,500.00",,,
JobSaver- Service NSW,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$45,860.00",$0.00,$0.00,$0.00,"$45,860.00",,,
Interest - Other,$5.92,$8.60,$7.80,$8.25,$6.72,$6.94,$8.17,$9.55,$9.06,$8.55,$7.83,$7.77,$95.16,,,
Interest - term Deposit,$888.36,$752.85,$816.56,$669.34,$622.60,$450.27,$420.05,$301.93,$270.20,$319.09,$295.00,$365.03,"$6,171.28",,,
Schroder Fund Income,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,351.71","$11,351.71",,,
Unrealised gain/loss on Investments,"$1,117.80","$1,182.29","$1,676.70","$2,214.10","$1,719.69","$2,326.38","$1,224.85","$2,680.16","($3,055.42)",$348.08,($696.17),"($7,180.30)","$3,558.16",,,
Sundry Income,0,79.14,0,0,309.08,354.54,210.91,81.82,0,0,0,0,1035.49,,,
Bridge Services  Other Clubs,0,0,0,18.18,0,0,0,0,0,0,0,0,18.18,,,
Total Misc,"$27,512.08","$27,522.88","$28,001.06","$1,909.87","$2,658.09","$3,138.13","$1,863.98","$3,073.46","$50,583.84",$675.72,($393.34),"$4,544.21","$151,089.98",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Overheads,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ABF&NSWBA Affiliation Fees,"$14,581.17",$0.00,"$13,055.54",$39.77,$0.00,"$1,500.00",$0.00,$434.87,$0.00,$6.55,$986.69,$168.66,"$30,773.25",,,
Masterpoints & Levies,$0.00,$0.00,"$1,835.20",$0.00,$0.00,"$4,405.80",$0.00,$0.00,$0.00,"$5,687.28",$0.00,"$3,266.25","$15,194.53",,,
Admin & Management  Salaries,"$26,937.86","$25,555.18","$60,133.37","$26,286.53","$25,204.84","$33,106.10","$23,858.85","$25,392.65","$25,161.51","$26,157.59","$27,353.15","$20,972.02","$346,119.65",,,
Management Fee,$0.00,$0.00,$0.00,$180.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$180.00,,,
Advertising Marketing,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,975.00",$0.00,"$6,247.50","$3,102.50","$4,125.00","$5,125.00","$21,575.00",,,
