Main Heading,Line Item,EL,WI,RB,IV,NR,LE,TOTAL
Bridge Income Streams,Total Congress and Special Events,33,33,34,,,,100
Bridge Income Streams,Total North Ryde Day,,,,,100,,100
Bridge Income Streams,Total The Willis,,100,,,,,100
Bridge Income Streams,Total Lindfield East,100,,,,,,100
Bridge Income Streams,Thursday Night Events Real Bridge,,,100,,,,100
Bridge Income Streams,Total Real Bridge,,,100,,,,100
Bridge Income Streams,Beginners,,,,,,100,100
Bridge Income Streams,Transition Lessons,,,,,,100,100
Bridge Income Streams,Subscriptions,33,33,34,,,,100
Bridge Income Streams,Sponsorship,33,33,34,,,,100
,,,,,,,,0
,,,,,,,,0
Direct Costs to run above Bridge Streams,Cong&Special E Other Expenses,33,33,34,,,,100
Direct Costs to run above Bridge Streams,Teaching beginners,,,,,,100,100
Direct Costs to run above Bridge Streams,Teaching Intermed & Transition Fees,,,,,,100,100
Direct Costs to run above Bridge Streams,Directors' Fees North Ryde,,,,,100,,100
Direct Costs to run above Bridge Streams,Rent North Ryde RSL,,,,,100,,100
Direct Costs to run above Bridge Streams,Directors' Fees Willis,,100,,,,,100
Direct Costs to run above Bridge Streams,Rent North Ryde Willis,,100,,,,,100
Direct Costs to run above Bridge Streams,Directing Fees ELindfield,100,,,,,,100
Direct Costs to run above Bridge Streams,Rent East Lindfield,100,,,,,,100
Direct Costs to run above Bridge Streams,Directing Fees Real Bridge,,,100,,,,100
Direct Costs to run above Bridge Streams,Real Bridge,,,100,,,,100
Direct Costs to run above Bridge Streams,Prizes,33,33,34,,,,100
,,,,,,,,0
,,,,,,,,0
Other Income,Job Keeper Subsidy,50,50,, ,,,100
Other Income,NSW COVID Grant 2021,,,,100,,,100
Other Income,JobSaver- Service NSW,,,,100,,,100
Other Income,Interest - Other,,,,100,,,100
Other Income,Interest - term Deposit,,,,100,,,100
Other Income,Schroder Fund Income,,,,100,,,100
Other Income,Unrealised gain/loss on Investments,,,,100,,,100
Other Income,Sundry Income,,,,100,,,100
Other Income,Bridge Services  Other Clubs,,,,100,,,100
,,,,,,,,0
,,,,,,,,0
Overheads,ABF&NSWBA Affiliation Fees,33,33,34,,,,100
Overheads,Masterpoints & Levies,33,33,34,,,,100
Overheads,Admin & Management  Salaries,33,33,34,,,,100
Overheads,Management Fee,33,33,34,,,,100
Overheads,Advertising Marketing,33,33,34,,,,100
Overheads,Audit Fees,33,33,34,,,,100
Overheads,Bank Fees and Taxes,,,,100,,,100
Overheads,Paypal Charges,33,33,34,,,,100
Overheads,Card Dealing,50,50,,,,,100
Overheads,Cleaning,50,50,,,,,100
Overheads,Club Amenities - North Ryde/Willis,,100,,,,,100
Overheads,Club Amenities - ELindfield,100,,,,,,100
Overheads,Club Removal Expenses,,100,,,,,100
Overheads,Club M'ship - Willoughby&ELind,50,50,,,,,100
Overheads,Computer Miscellaneous,50,50,,,,,100
Overheads,Depreciation  Equipment,50,50,,,,,100
Overheads,Depreciation Furn & Fittings,50,50,,,,,100
Overheads,Entertainment,40,40,20,,,,100
Overheads,Insurance,33,33,34,,,,100
Overheads,Legal and Professional Expense,33,33,34,,,,100
Overheads,Library and Textbooks,50,50,,,,,100
Overheads,Long Service Leave,33,33,34,,,,100
Overheads,Contractor,33,33,34,,,,100
Overheads,"Office Expenses, Stationery",50,50,,,,,100
Overheads,"Playing Cards, Boards pads etc",50,50,,,,,100
Overheads,Postage,33,33,34,,,,100
Overheads,Photocopy Expenses,40,40,20,,,,100
Overheads,Photocopying Clearing Account,50,50,,,,,100
Overheads,JOBKEEPER WAGE SUBSIDY,,,,100,,,100
Overheads,Rent Willoughby,,100,,,,,100
Overheads,Repairs & Maintenance,50,50,,,,,100
Overheads,Sundry Expense,33,33,34,,,,100
Overheads,Superannuation,33,33,34,,,,100
Overheads,Software Licence Fees,33,33,34,,,,100
Overheads,Telephone & Internet,50,50,,,,,100
Overheads,Website,33,33,34,,,,100
Overheads,Uniforms and Tablecloths,50,50,,,,,100
